feature_version,penalty_rate,penalty_definition,model,W1,W2,n_features,selected_features,selection_method,standardized_features,selection_threshold,nRMSE,optimality_gap_pct,profit,oracle_profit,mean_prediction,mean_actual,mean_shortage,mean_surplus,prediction_at_lower_rate,prediction_at_upper_rate,setting_order,solver_status,solver_runtime
paper3_fixed_deaccum,0.0,PC=(1+r)DP,Baseline MLR,,,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.2477220217523,9.076364840405201,14959.720746486379,16453.060549358976,0.4660475388775033,0.3925160256410256,0.10434157265746496,0.030810059420987378,0.0008333333333333334,0.0,-1,,
paper3_fixed_deaccum,0.0,PC=(1+r)DP,Proposed MLR,1.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,71.99042550335521,9.025879347335461,14968.027155229785,16453.060549358976,0.6340933637594048,0.3925160256410256,0.24313153217446573,0.00155419405608647,0.0,0.0025,0,2.0,1.1719999313354492
paper3_fixed_deaccum,0.25,PC=(1+r)DP,Baseline MLR,,,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.2477220217523,15.693735945603153,13870.960671772375,16453.060549358976,0.4660475388775033,0.3925160256410256,0.10434157265746496,0.030810059420987378,0.0008333333333333334,0.0,-1,,
paper3_fixed_deaccum,0.25,PC=(1+r)DP,Proposed MLR,1.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,38.445969258286176,13.131263119980929,14292.565877332869,16453.060549358976,0.39570020967653896,0.3925160256410256,0.06143974447809603,0.05825556044258272,0.0008333333333333334,0.0,0,2.0,1.0280001163482666
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Baseline MLR,,,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.2477220217523,22.311107050801105,12782.20059705837,16453.060549358976,0.4660475388775033,0.3925160256410256,0.10434157265746496,0.030810059420987378,0.0008333333333333334,0.0,-1,,
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,42.48422136752182,14.145018814512186,14125.772039089066,16453.060549358976,0.33179181067002866,0.3925160256410256,0.03490368624581487,0.09562790121681185,0.0008333333333333334,0.0,0,2.0,1.7860000133514404
paper3_fixed_deaccum,0.75,PC=(1+r)DP,Baseline MLR,,,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.2477220217523,28.928478155999063,11693.440522344365,16453.060549358976,0.4660475388775033,0.3925160256410256,0.10434157265746496,0.030810059420987378,0.0008333333333333334,0.0,-1,,
paper3_fixed_deaccum,0.75,PC=(1+r)DP,Proposed MLR,1.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,50.83970027716684,14.25253476919042,14108.082373965635,16453.060549358976,0.27969962188053804,0.3925160256410256,0.020901528052624505,0.1337179318131121,0.0008333333333333334,0.0,0,2.0,2.110999822616577
paper3_fixed_deaccum,1.0,PC=(1+r)DP,Baseline MLR,,,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,43.2477220217523,35.54584926119702,10604.680447630359,16453.060549358976,0.4660475388775033,0.3925160256410256,0.10434157265746496,0.030810059420987378,0.0008333333333333334,0.0,-1,,
paper3_fixed_deaccum,1.0,PC=(1+r)DP,Proposed MLR,1.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",fixed,False,0.05,59.91595572597564,14.105397451394715,14132.290965953265,16453.060549358976,0.23628549807433227,0.3925160256410256,0.013008558594712694,0.1692390861614061,0.0008333333333333334,0.0,0,2.0,2.126999855041504
