feature_version,penalty_rate,penalty_definition,model,W1,W2,n_features,selected_features,nRMSE,optimality_gap_pct,profit,oracle_profit,mean_prediction,mean_actual,mean_shortage,mean_surplus,prediction_at_lower_rate,prediction_at_upper_rate,setting_order,solver_status,solver_runtime
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Baseline MLR,,,3,"hour,VAR169_deaccum,VAR178_deaccum",43.2477220217523,22.311107050801105,12782.20059705837,16453.060549358976,0.4660475388775033,0.3925160256410256,0.10434157265746496,0.030810059420987378,0.0008333333333333334,0.0,-1,,
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,20.0,3,"hour,VAR169_deaccum,VAR178_deaccum",38.527407730239474,17.83554713292216,13518.567180269834,16453.060549358976,0.4084125213722252,0.3925160256410256,0.06804400495114285,0.05214750921994328,0.0008333333333333334,0.0,0,2.0,0.7289998531341553
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,10.0,3,"hour,VAR169_deaccum,VAR178_deaccum",38.6477860817282,16.14455658466299,13796.786879058853,16453.060549358976,0.37982423808785026,0.3925160256410256,0.053760537899802674,0.066452325452978,0.0008333333333333334,0.0,1,2.0,0.7539999485015869
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,5.0,3,"hour,VAR169_deaccum,VAR178_deaccum",39.67558628739092,15.193126471412853,13953.326251676732,16453.060549358976,0.360438604944244,0.3925160256410256,0.045318699452814415,0.07739612014959604,0.0008333333333333334,0.0,2,2.0,0.8570001125335693
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,2.0,3,"hour,VAR169_deaccum,VAR178_deaccum",41.86135567294955,14.312383552131301,14098.235417470318,16453.060549358976,0.3370159598819569,0.3925160256410256,0.03663892332941657,0.09213898908848533,0.0008333333333333334,0.0,3,2.0,0.7740001678466797
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",42.48422136752182,14.145018814512186,14125.772039089066,16453.060549358976,0.33179181067002866,0.3925160256410256,0.03490368624581487,0.09562790121681185,0.0008333333333333334,0.0,4,2.0,1.1299998760223389
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,2.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",42.87243877050802,14.054236537593097,14140.70850207865,16453.060549358976,0.32871442702662323,0.3925160256410256,0.03392381046235255,0.09772540907675491,0.0008333333333333334,0.0,5,2.0,0.8299999237060547
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,5.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",43.272628924110315,13.966315263352486,14155.174242565226,16453.060549358976,0.32566178445704075,0.3925160256410256,0.03297653151997484,0.09983077270395974,0.0008333333333333334,0.0,6,2.0,0.9580001831054688
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,10.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",43.45114234177364,13.928915795004238,14161.327599737702,16453.060549358976,0.3243350375014139,0.3925160256410256,0.03256783694368496,0.1007488250832967,0.0008333333333333334,0.0,7,2.0,1.0950000286102295
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,20.0,1.0,3,"hour,VAR169_deaccum,VAR178_deaccum",43.45114234177364,13.928915795004238,14161.327599737702,16453.060549358976,0.3243350375014139,0.3925160256410256,0.03256783694368496,0.1007488250832967,0.0008333333333333334,0.0,8,2.0,0.8420000076293945
paper3_fixed_deaccum,0.5,PC=(1+r)DP,Proposed MLR,1.0,0.0,3,"hour,VAR169_deaccum,VAR178_deaccum",43.4866588024434,13.921838848565557,14162.491974020304,16453.060549358976,0.3240734723012171,0.3925160256410256,0.032487875923861015,0.1009304292636695,0.0008333333333333334,0.0,9,2.0,0.1510000228881836
paper3_fixed_raw,0.5,PC=(1+r)DP,Baseline MLR,,,3,"hour,VAR169,VAR178",66.46645901847918,15.910720694651529,13835.26003962857,16453.060549358976,0.2672742298843526,0.3925160256410256,0.04391856358814685,0.16916035934481993,0.0016666666666666668,0.0,-1,,
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,1.0,20.0,3,"hour,VAR169,VAR178",78.84075018215512,14.742970866488134,14027.390625921329,16453.060549358976,0.19443092227186975,0.3925160256410256,0.025526392905086535,0.22361149627424246,0.0025,0.0,0,2.0,0.6889998912811279
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,1.0,10.0,3,"hour,VAR169,VAR178",87.60672129180858,14.116897432973229,14130.398867020987,16453.060549358976,0.15043200387759242,0.3925160256410256,0.015960254435073595,0.25804427619850684,0.004166666666666667,0.0,1,2.0,1.6099998950958252
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,1.0,5.0,3,"hour,VAR169,VAR178",96.41177147421249,13.67151037568612,14203.678669235444,16453.060549358976,0.10886039611477069,0.3925160256410256,0.008327037337791908,0.2919826668640469,0.004166666666666667,0.0,2,2.0,0.6800000667572021
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,1.0,2.0,3,"hour,VAR169,VAR178",103.66219388820039,13.586079168167712,14217.734717536496,16453.060549358976,0.07750194621815315,0.3925160256410256,0.004446383580030878,0.3194604630029034,0.004166666666666667,0.0,3,2.0,0.7000000476837158
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,1.0,1.0,3,"hour,VAR169,VAR178",106.62012236276797,13.638659950180308,14209.083569634637,16453.060549358976,0.06632208920804249,0.3925160256410256,0.0036180544812896135,0.3298119909142727,0.0016666666666666668,0.0,4,2.0,0.7640001773834229
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,2.0,1.0,3,"hour,VAR169,VAR178",107.61446933243909,13.657037036144189,14206.059976553792,16453.060549358976,0.06250054758808998,0.3925160256410256,0.0033300512815902807,0.33334552933452594,0.0016666666666666668,0.0,5,2.0,0.5299999713897705
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,5.0,1.0,3,"hour,VAR169,VAR178",108.49029644876155,13.665995941940661,14204.585962358538,16453.060549358976,0.05910826516585401,0.3925160256410256,0.0030536005605184308,0.3364613610356901,0.0016666666666666668,0.0,6,2.0,0.5220000743865967
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,10.0,1.0,3,"hour,VAR169,VAR178",109.06002480038822,13.659536161842002,14205.648793889526,16453.060549358976,0.05662106387610192,0.3925160256410256,0.002790519037234667,0.3386854808021584,0.0016666666666666668,0.0,7,2.0,0.35500001907348633
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,20.0,1.0,3,"hour,VAR169,VAR178",109.24307301758712,13.656524535673794,14206.144298566502,16453.060549358976,0.05579428456689127,0.3925160256410256,0.0026997069837917487,0.33942144805792607,0.0025,0.0,8,2.0,0.4780001640319824
paper3_fixed_raw,0.5,PC=(1+r)DP,Proposed MLR,1.0,0.0,3,"hour,VAR169,VAR178",109.35526255360199,13.65293494288555,14206.734896441427,16453.060549358976,0.055215488568795455,0.3925160256410256,0.002624437369323064,0.3399249744415533,0.0025,0.0,9,2.0,0.13100004196166992
