penalty_rate,penalty_definition,model,W1,W2,n_lags,nRMSE,optimality_gap_pct,profit,oracle_profit,mean_prediction,mean_actual,mean_shortage,mean_surplus,prediction_at_lower_rate,prediction_at_upper_rate,setting_order,mean_solver_runtime
0.5,PC=(1+r)DP,Baseline AR,,,24,41.00618163086155,17.145616030969446,13632.081962222974,16453.060549358976,0.4284800376684251,0.3925160256410256,0.07097879478949705,0.03501478276209756,0.0,0.0,-1,
0.5,PC=(1+r)DP,Proposed AR,1.0,20.0,24,41.620236925297675,16.018350392741823,13817.551660232682,16453.060549358976,0.3972618852478001,0.3925160256410256,0.05885483022931252,0.05410897062253812,0.0,0.0008333333333333334,0,0.08475007613499959
0.5,PC=(1+r)DP,Proposed AR,1.0,10.0,24,41.63000533316982,14.847505509688052,14010.19147778059,16453.060549358976,0.3670541488904867,0.3925160256410256,0.04552782450957016,0.07098970126010912,0.0,0.0,1,0.0845833420753479
0.5,PC=(1+r)DP,Proposed AR,1.0,5.0,24,45.92612735823004,14.269763209162502,14105.247768305318,16453.060549358976,0.33819803630344947,0.3925160256410256,0.038264013674980966,0.09258200301255715,0.0,0.0008333333333333334,2,0.0824166735013326
0.5,PC=(1+r)DP,Proposed AR,1.0,2.0,24,54.286129644805015,13.777133246653355,14186.300474321233,16453.060549358976,0.30287021625689703,0.3925160256410256,0.032750103019619135,0.12239591240374774,0.0075,0.0008333333333333334,3,0.07833333810170491
0.5,PC=(1+r)DP,Proposed AR,1.0,1.0,24,57.22419929534236,13.519508661921178,14228.687603237253,16453.060549358976,0.28754849937813787,0.3925160256410256,0.0295543854640669,0.13452191172695463,0.01,0.0008333333333333334,4,0.07875007390975952
0.5,PC=(1+r)DP,Proposed AR,2.0,1.0,24,58.65008881963445,13.44262628610059,14241.3371070828,16453.060549358976,0.2824127905175045,0.3925160256410256,0.02910117350090466,0.13920440862442585,0.015833333333333335,0.0008333333333333334,5,0.078083336353302
0.5,PC=(1+r)DP,Proposed AR,5.0,1.0,24,59.492046938278314,13.295261131642906,14265.583185174379,16453.060549358976,0.27724031045940223,0.3925160256410256,0.027841956029776967,0.14311767121140037,0.02,0.0008333333333333334,6,0.08025004466374715
0.5,PC=(1+r)DP,Proposed AR,10.0,1.0,24,59.63049091889476,13.315977953746575,14262.17463388976,16453.060549358976,0.27660573250384896,0.3925160256410256,0.027729404483781354,0.14363969762095805,0.020833333333333332,0.0008333333333333334,7,0.07949999968210857
0.5,PC=(1+r)DP,Proposed AR,20.0,1.0,24,59.66424115046848,13.291539731663637,14266.195469366252,16453.060549358976,0.27607058097596043,0.3925160256410256,0.027570534693824797,0.14401597935889002,0.020833333333333332,0.0008333333333333334,8,0.06916668017705281
0.5,PC=(1+r)DP,Proposed AR,1.0,0.0,24,59.56299678219405,13.283254413730297,14267.558657742531,16453.060549358976,0.2763228220232887,0.3925160256410256,0.027573937787006616,0.14376714140474361,0.02,0.0008333333333333334,9,0.036833345890045166
